keys,en
DIALOG_DEFAULT_TITLE,Message
DIALOG_1_TITLE,A New Journey
DIALOG_1_TEXT,"Welcome in {worldName}, {masterName}.

Explore the world, build yourself an empire, catch the most difficult Bestia.
The world ahead is yours to explore.

Good luck! You will need it."
DIALOG_2_TEXT,"Well met, traveller. I have nothing to offer you yet - come back once I do."
DIALOG_BASIC_SKILL_PRIMER_TITLE,Where To Begin
DIALOG_BASIC_SKILL_PRIMER_TEXT,"Welcome traveller,

Since you are new to this world you need to learn the most basic skills first.
When you open your Skills window. The first entry there is [b]Basic Skill[/b].

[table=2]
[cell]Lv. 1[/cell][cell]Trade with other players[/cell]
[cell]Lv. 2[/cell][cell]Speak - every channel, including the one around you[/cell]
[cell]Lv. 3[/cell][cell]Use trade posts[/cell]
[cell]Lv. 4[/cell][cell]Sit down and recover twice as fast[/cell]
[cell]Lv. 5[/cell][cell]Form parties, and open every other skill tree[/cell]
[/table]

Every level you gain is one point to put into the skill tree."
DIALOG_3_TITLE,Workbench
DIALOG_3_TEXT,"A sturdy workbench, freshly raised. There is nothing to make here yet."
TALK_GREETING,"{name} looks up as you approach."
TALK_FAREWELL,Nothing for now.
TALK_GOODBYE,Mind how you go.
TALK_BACK,Something else.
TALK_ABOUT_TOWN_ASK,What is this place?
TALK_ABOUT_TOWN,"You are in {town}. I keep the {trade} here."
TALK_NEWS_ASK,Heard anything lately?
TALK_NEWS_NONE,Nothing worth repeating.
TALK_SHOP_BUY_ASK,Show me your wares.
TALK_SHOP_SELL_ASK,I have things to sell.
TALK_NOT_YET,Not today. Come back another time.
TRADE_GUARD,watch
TRADE_PRIEST,temple
TRADE_INNKEEPER,inn
TRADE_FARMER,fields
TRADE_LABOURER,work
TRADE_BEGGAR,corner
TRADE_CHILD,nothing much
HISTORY_SETTLEMENT_FOUNDED_ASK,How old is {place}?
HISTORY_SETTLEMENT_FOUNDED_1,"The {civ} laid the first stones of {place} in {year}. We have been here ever since."
HISTORY_SETTLEMENT_FOUNDED_2,"{place} goes back to {year}, when the {civ} came up the valley and stopped."
HISTORY_SETTLEMENT_WALLED_ASK,Why the walls?
HISTORY_SETTLEMENT_WALLED_1,"{place} put its walls up in {year}. Nobody builds walls for the first fright."
HISTORY_SETTLEMENT_SACKED_ASK,Has {place} ever been taken?
HISTORY_SETTLEMENT_SACKED_1,"The {civ} came through {place} in {year} and took what they liked."
HISTORY_SETTLEMENT_SACKED_2,"{year}. The {civ} in the streets of {place}, and no help coming."
HISTORY_SETTLEMENT_RAZED_ASK,What became of {place}?
HISTORY_SETTLEMENT_RAZED_1,"They pulled {place} down in {year}. Nothing was rebuilt."
HISTORY_SETTLEMENT_ABANDONED_ASK,Why did {place} empty out?
HISTORY_SETTLEMENT_ABANDONED_1,"{place} emptied in {year}. People left one household at a time, and then there was nobody."
HISTORY_SETTLEMENT_FORSAKEN_ASK,What happened at {place}?
HISTORY_SETTLEMENT_FORSAKEN_1,"The blight took the fields at {place}, and by {year} there was no reason left to stay."
HISTORY_SETTLEMENT_BURIED_ASK,What happened to {place}?
HISTORY_SETTLEMENT_BURIED_1,"The mountain took {place} in {year}. You can still walk into what is left of it."
HISTORY_SETTLEMENT_BURIED_2,"Ash. All of it, in one night, in {year}. {place} is under there somewhere."
HISTORY_CIV_FOUNDED_ASK,Who are the {civ}?
HISTORY_CIV_FOUNDED_1,"The {civ} count their beginning from {year}, at {place}."
HISTORY_CIV_FELL_ASK,Whatever happened to the {civ}?
HISTORY_CIV_FELL_1,"The {civ} came apart in {year}. There is nobody left to answer for them."
HISTORY_WAR_DECLARED_ASK,Has there been war?
HISTORY_WAR_DECLARED_1,"The {civ} declared for war in {year}. It went on longer than anyone promised."
HISTORY_BATTLE_ASK,Any fighting near here?
HISTORY_BATTLE_1,"The {civ} fought here in {year}. The ground still turns up iron."
HISTORY_BATTLE_2,"{year}. A bad day for the {civ}, and a worse one for whoever was farming it."
HISTORY_SIEGE_ASK,Was {place} ever besieged?
HISTORY_SIEGE_1,"The {civ} sat outside {place} through {year}, waiting for hunger to do the work."
HISTORY_CONQUEST_ASK,Who holds {place} now?
HISTORY_CONQUEST_1,"The {civ} took {place} in {year}, and kept it."
HISTORY_PEACE_ASK,Is there peace?
HISTORY_PEACE_1,"The {civ} signed in {year}. It has held, more or less."
HISTORY_PLAGUE_ASK,Has sickness come through?
HISTORY_PLAGUE_1,"Plague in {place}, {year}. They burned the clothes and it went on spreading anyway."
HISTORY_PLAGUE_2,"{year} was the sickness. Ask anybody old enough and they will tell you who they lost."
HISTORY_FAMINE_ASK,Have the harvests ever failed?
HISTORY_FAMINE_1,"{place} went hungry in {year}. Two bad harvests together is all it takes."
HISTORY_FLOOD_ASK,Does the water ever come up?
HISTORY_FLOOD_1,"The water came into {place} in {year}. It has come close since, but not like that."
HISTORY_ERUPTION_ASK,Is that mountain safe?
HISTORY_ERUPTION_1,"The mountain woke in {year}. Ash on everything for a season."
HISTORY_ERUPTION_2,"{year}. You could read by the light of it at midnight, and nobody slept."
HISTORY_FIGURE_ROSE_ASK,Who leads the {civ}?
HISTORY_FIGURE_ROSE_1,"{figure} came up among the {civ} in {year}."
HISTORY_FIGURE_DIED_ASK,What became of {figure}?
HISTORY_FIGURE_DIED_1,"{figure} of the {civ} died in {year}, in bed, which is more than most get."
HISTORY_FIGURE_SLAIN_ASK,How did {figure} die?
HISTORY_FIGURE_SLAIN_1,"{figure} of the {civ} fell in battle in {year}."
HISTORY_TRAVELLER_LOST_ASK,Is the road safe?
HISTORY_TRAVELLER_LOST_1,"{figure} of the {civ} went out into the waste in {year} and never came back."
HISTORY_TRAVELLER_LOST_2,"{year}. {figure} took the short way across and is buried wherever they fell."
HISTORY_SEER_VANISHED_ASK,Did anyone go and look?
HISTORY_SEER_VANISHED_1,"{figure} walked out to the wound in {year}. No grave, no word, nothing."
HISTORY_ARTIFACT_FORGED_ASK,Is anything famous made near here?
HISTORY_ARTIFACT_FORGED_1,"{figure} made {artifact} in {year}."
HISTORY_ARTIFACT_TAKEN_ASK,Who carries {artifact}?
HISTORY_ARTIFACT_TAKEN_1,"{artifact} passed to {figure} in {year}. Not everyone thought it should have."
HISTORY_ARTIFACT_LOST_ASK,Was anything ever lost near {place}?
HISTORY_ARTIFACT_LOST_1,"Something went missing at {place} in {year} that people still come asking after."
HISTORY_ARTIFACT_ENTOMBED_ASK,Where did {artifact} end up?
HISTORY_ARTIFACT_ENTOMBED_1,"{artifact} went into the ground with {figure} in {year}."
HISTORY_MINE_OPENED_ASK,Is there anything worth digging for?
HISTORY_MINE_OPENED_1,"The {civ} opened the workings in {year}. It changed what this country is for."
HISTORY_MONASTERY_FOUNDED_ASK,Is there a house of the faith nearby?
HISTORY_MONASTERY_FOUNDED_1,"The {civ} founded the house in {year}, somewhere poor and hard to reach, as they do."
HISTORY_FORT_BUILT_ASK,Who watches the frontier?
HISTORY_FORT_BUILT_1,"The {civ} put a fort on the high ground in {year}."
HISTORY_LIGHTHOUSE_LIT_ASK,What is the light on the headland?
HISTORY_LIGHTHOUSE_LIT_1,"The {civ} first lit it in {year}. It has not been dark since."
HISTORY_MONUMENT_BUILT_ASK,What is that stone for?
HISTORY_MONUMENT_BUILT_1,"The {civ} raised it in {year}. Everybody argues about what it means."
HISTORY_TECHNOLOGY_ASK,Has anything changed in your lifetime?
HISTORY_TECHNOLOGY_1,"The {civ} worked something new out in {year}, and the work has been easier since."
HISTORY_STAR_FELL_ASK,Where did the mana come from?
HISTORY_STAR_FELL_1,"Something came down in {year}. Everything strange in this world starts there."
HISTORY_BLIGHT_SPREAD_ASK,What is wrong with the land?
HISTORY_BLIGHT_SPREAD_1,"The corruption reached the fields at {place} in {year}. It does not go back."
HISTORY_WARD_RAISED_ASK,Why is {place} still standing?
HISTORY_WARD_RAISED_1,"The {civ} raised wards at {place} in {year}. That is the only reason anybody is still there."
HISTORY_ORDER_SWORN_ASK,What do people here believe?
HISTORY_ORDER_SWORN_1,"The {civ} swore themselves at {place} in {year}, and meant it."
HISTORY_ORDER_SCHISM_ASK,Was there ever a falling out over it?
HISTORY_ORDER_SCHISM_1,"The {civ} broke with what they had sworn, at {place}, in {year}. It is still not forgiven."
HISTORY_SHRINE_RAISED_ASK,What is the stone circle?
HISTORY_SHRINE_RAISED_1,"The {civ} raised it in {year}, to work at."
HISTORY_RITE_PERFORMED_ASK,Do they still hold the rites?
