keys,en
ERROR_BASIC_SKILL_CHAT_LOCKED,You cannot speak yet. Raise Basic Skill to Lv. 2 in your Skills window.
ERROR_BASIC_SKILL_PARTY_LOCKED,Parties need Basic Skill Lv. 5.
ERROR_BASIC_SKILL_TRADE_LOCKED,Trading needs Basic Skill Lv. 1.
ERROR_EQUIP_LEVEL_TOO_LOW,You are not high enough level to wear that yet.
ERROR_CHART_NEEDS_BLANK,You have no blank vellum to draw on.
ERROR_CHART_NOT_FOUND,You are not carrying that chart.
ERROR_CHART_MERGE_SAME,A chart cannot be joined with itself.
ERROR_CHART_STALE_WORLD,That chart shows land that no longer exists.
ERROR_TRADE_TARGET_UNAVAILABLE,They cannot trade right now.
ERROR_TRADE_OUT_OF_RANGE,You are too far away to trade with them.
ERROR_TRADE_DECLINED,%s declined the trade.
ERROR_TRADE_CANCELLED,%s cancelled the trade.
ERROR_TRADE_WALKED_AWAY,The trade with %s was cancelled because you moved too far apart.
ERROR_TRADE_FAILED,The trade could not be completed. Nothing changed hands.
ERROR_CHAT_COMMAND_NO_PERMISSION,You are not allowed to use that command.
ERROR_CHAT_COMMAND_UNKNOWN,There is no such command. Type /help to see the ones you can use.
ERROR_CHAT_COMMAND_FAILED,That command went wrong and did nothing.
ERROR_CHAT_WHISPER_TARGET_UNAVAILABLE,No player named %s is online.
DEATH_TITLE,You have died.
DEATH_TEXT,Your body lies where it fell. Return to your save point, or stay a while longer.
DEATH_RESPAWN,Respawn
DEATH_DISMISS,Not yet
POI_LOST_GRAVE,Lost Grave
POI_STANDING_STONES,Standing Stones
POI_BROKEN_OBELISK,Broken Obelisk
POI_WAYSTONE,Waystone
POI_PETRIFIED_TREE,Petrified Tree
POI_SUNKEN_IDOL,Sunken Idol
FEATURE_RUIN,Ruins
FEATURE_ASH_RUIN,Burnt Ruins
FEATURE_FORT,Fort
FEATURE_MONASTERY,Monastery
FEATURE_LIGHTHOUSE,Lighthouse
FEATURE_MONUMENT,Monument
FEATURE_TOMB,Tomb
FEATURE_BATTLEFIELD,Battlefield
FEATURE_MINE,Mine
FEATURE_SHRINE,Shrine
FEATURE_ROADSIDE_INN,Roadside Inn
FEATURE_VOLCANIC_VENT,Volcano
FEATURE_WOUND,The Wound
MARKS_FULL,You are keeping as many marks as one map will hold.
MARK_NAME_PROMPT,Name this place
MARK_DELETE_PROMPT,Remove the mark “%s”?
MARK_DELETE_CONFIRM,Remove
MARK_DELETE_KEEP,Keep
ERROR_BUILD_OUT_OF_RANGE,You are too far away to work on that.
ERROR_TALK_OUT_OF_RANGE,They are too far away to hear you.
BESTIA_BLOB,Blob
BESTIA_DOOM_MASTER_OF_DOOM,Doom Master of Doom
BESTIA_TOWNSFOLK_COMMONER,Townsperson
ITEM_OBTAINED_AMOUNT,%dx %s
ITEM_OBTAINED,Obtained %s
CHAT_ITEM_OBTAINED,You obtain %s.
DIRECTION_EAST,east
DIRECTION_NORTHEAST,north-east
DIRECTION_NORTH,north
DIRECTION_NORTHWEST,north-west
DIRECTION_WEST,west
DIRECTION_SOUTHWEST,south-west
DIRECTION_SOUTH,south
DIRECTION_SOUTHEAST,south-east
DIRECTION_UNKNOWN,somewhere you cannot make out
TRACK_SUBJECT_TRAVELLER,A traveller
TRACK_AGE_FRESH,The trail is fresh.
TRACK_AGE_RECENT,The trail is going cold.
TRACK_AGE_COLD,The trail is cold.
ERROR_CRAFT_WORLD_OUT_OF_GOLD,There is no gold left in the world to mint. Somebody has to dig some up.
ERROR_SHOP_NONE_HERE,There is nobody here keeping a shop.
ERROR_SHOP_NOT_STOCKED,They do not deal in that.
ERROR_SHOP_OUT_OF_STOCK,"They have none left to sell, or no room to take more."
ERROR_SHOP_CANNOT_AFFORD,You cannot pay for that.
ERROR_SHOP_TREASURY_EMPTY,The town has run out of coin. Try somewhere richer.
ERROR_SHOP_TREASURY_FULL,The town has more coin than it knows what to do with.
SHOP_BUY_TOOLTIP,Each one costs a little more than the last.
SHOP_SELL_TOOLTIP,Each one fetches a little less than the last.
