keys,en
APPLE,Apple
APPLE_DESC,"A fresh apple. 

Restores a small amount of health when eaten."
SMALL_HEALTH_POTION,Small Health Potion
SMALL_HEALTH_POTION_DESC,"A small vial of transparent slight red liquid.

Heals a modest amount of health when consumed."
JELLY,Jelly
JELLY_DESC,A quivering lump of blob residue. Someone probably buys these.
SHOES,Shoes
SHOES_DESC,"A sturdy pair of leather shoes.

Light enough to keep you nimble on your feet."
BOOTS,Boots
BOOTS_DESC,"A pair of heavy iron-shod boots.

Their weight is a burden, but lends surprising resilience."
MANA_CRYSTAL,Mana Crystal
MANA_CRYSTAL_DESC,"A shard of raw mana crystal, cool to the touch and faintly lit from within."
AETHERITE_SHARD,Aetherite Shard
AETHERITE_SHARD_DESC,"A splinter of aetherite, prised from corrupted rock. It hums faintly against the palm."
